code,day,return
003670,2017-01-02,
003670,2017-01-03,-0.020820266159409098
003670,2017-01-04,0.029695119417426287
003670,2017-01-05,-4.4027397260273976e-05
003670,2017-01-06,0.016508982410220717
003670,2017-01-09,-0.024471720154013183
003670,2017-01-10,-0.0166480501897959
003670,2017-01-11,0.016838063719160766
003670,2017-01-12,0.00830139084333598
003670,2017-01-13,-0.0041831017669387415
003670,2017-01-16,-4.473972602739726e-05
003670,2017-01-17,-4.457534246575342e-05
003670,2017-01-18,0.0041104090209900315
003670,2017-01-19,-4.594520547945206e-05
003670,2017-01-20,-0.004183759301185317
003670,2017-01-23,-4.498630136986302e-05
003670,2017-01-24,-4.457534246575342e-05
003670,2017-01-25,0.004110491212770854
003670,2017-01-26,-0.004184553821733262
003670,2017-01-31,0.0041097240894831825
003670,2017-02-01,-0.008323025451685702
003670,2017-02-02,-0.004218846106599497
003670,2017-02-03,0.004144277841830653
003670,2017-02-06,0.0041273940518049765
003670,2017-02-07,0.008266187904993762
003670,2017-02-08,-0.016530703977936125
003670,2017-02-09,0.01671661821663768
003670,2017-02-10,0.016439827265607356
003670,2017-02-13,0.03635885519536383
003670,2017-02-14,0.015603149914141263
003670,2017-02-15,-4.550684931506849e-05
003670,2017-02-16,-0.007749052398775857
003670,2017-02-17,0.019363312968670096
003670,2017-02-20,-0.007661406021270999
003670,2017-02-21,0.01530241086719967
003670,2017-02-22,-0.01138346794859792
003670,2017-02-23,0.011421225978378089
003670,2017-02-24,-0.0076037640205264675
003670,2017-02-27,0.007570090952777849
003670,2017-02-28,-0.011383002195173263
003670,2017-03-02,0.011420212279747953
003670,2017-03-03,0.0037320874897152885
003670,2017-03-06,0.011166573551680397
003670,2017-03-07,-4.890410958904109e-05
003670,2017-03-08,-0.007494983662343525
003670,2017-03-09,0.007453036307382829
003670,2017-03-10,0.0036743274476101185
003670,2017-03-13,0.011079498105370586
003670,2017-03-14,0.003620326252357593
003670,2017-03-15,-0.025633357633425554
003670,2017-03-16,0.03746356509855798
003670,2017-03-17,0.014415785036880928
003670,2017-03-20,0.042644516318280215
003670,2017-03-21,-4.575342465753424e-05
003670,2017-03-22,0.010135543493225398
003670,2017-03-23,-4.564383561643835e-05
003670,2017-03-24,-4.6e-05
003670,2017-03-27,-4.52054794520548e-05
003670,2017-03-28,0.010105059870242189
003670,2017-03-29,0.020051633651458116
003670,2017-03-30,-0.023030107146753537
003670,2017-03-31,0.030201350419480754
003670,2017-04-03,0.01293314718611426
003670,2017-04-04,-0.0031968601932543983
003670,2017-04-05,-0.035580458185235156
003670,2017-04-06,0.003303486887115165
003670,2017-04-07,-0.010060943229350621
003670,2017-04-10,-0.03706829889314125
003670,2017-04-11,0.045401361355207046
003670,2017-04-12,0.013351755767638742
003670,2017-04-13,-0.0033510669518139607
003670,2017-04-14,-0.01662698707459389
003670,2017-04-17,-4.583561643835617e-05
003670,2017-04-18,0.020186512822932084
003670,2017-04-19,-0.0264170340442749
003670,2017-04-20,-0.006835345087737524
003670,2017-04-21,-4.608219178082191e-05
003670,2017-04-24,-0.006882469222163668
003670,2017-04-25,0.01708809783732764
003670,2017-04-26,-0.006741091951721969
003670,2017-04-27,-4.583561643835617e-05
003670,2017-04-28,-0.020483744600666765
003670,2017-05-02,-4.630136986301369e-05
003670,2017-05-04,0.034653587873529894
003670,2017-05-08,-0.013418346143862553
003670,2017-05-10,-0.01026624216334708
003670,2017-05-11,-4.742465753424658e-05
003670,2017-05-12,-0.027578490659113046
003670,2017-05-15,-0.003585684664362417
003670,2017-05-16,-0.0035229639140362825
003670,2017-05-17,-0.01786547617801156
003670,2017-05-18,-0.007303197879795128
003670,2017-05-19,0.014574110428493664
003670,2017-05-22,0.021491353819856764
003670,2017-05-23,0.0034803009751845945
003670,2017-05-24,0.006981653821533735
003670,2017-05-25,0.041753468994759145
003670,2017-05-26,-0.006744946376970057
003670,2017-05-29,-0.01009034572283911
003670,2017-05-30,0.0033608935065038213
003670,2017-05-31,-0.006834797142532045
003670,2017-06-01,0.013553942487868877
003670,2017-06-02,-0.013461216581455644
003670,2017-06-05,-0.01371619871829994
003670,2017-06-07,-0.00350972099355721
003670,2017-06-08,0.03465476595572168
003670,2017-06-09,0.043573093823617286
003670,2017-06-12,0.00639401389103981
003670,2017-06-13,-0.028774487719353873
003670,2017-06-14,0.006542466723188199
003670,2017-06-15,0.01624802034620018
003670,2017-06-16,0.022495528070694132
003670,2017-06-19,-0.025173421301718662
003670,2017-06-20,-0.019429022023826896
003670,2017-06-21,0.0032479319917310856
003670,2017-06-22,-0.016464096102867008
003670,2017-06-23,0.006630391376644707
003670,2017-06-26,0.0198507680511565
003670,2017-06-27,0.022645028150661238
003670,2017-06-28,-0.012764187136464598
003670,2017-06-29,0.009614294809162455
003670,2017-06-30,-0.022304935314503293
003670,2017-07-03,-0.019619528237737025
003670,2017-07-04,-0.04323050954714808
003670,2017-07-05,0.031174446885882588
003670,2017-07-06,0.006696289662438549
003670,2017-07-07,0.02339753149747739
003670,2017-07-10,0.026064195935910903
003670,2017-07-11,0.01908847905046629
003670,2017-07-12,0.09683546553998217
003670,2017-07-13,0.019863616696146204
003670,2017-07-14,-0.027963005059222664
003670,2017-07-17,0.04593537297649123
003670,2017-07-18,-0.03025319345115187
003670,2017-07-19,-0.008558785563973935
003670,2017-07-20,0.07708614101599702
003670,2017-07-21,0.02911692550339156
003670,2017-07-24,0.023128229559821765
003670,2017-07-25,0.05792110843688858
003670,2017-07-26,0.023746396051714396
003670,2017-07-27,0.013927300405935622
